               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082246,            0.067643,            0.055372,             0.23994,             0.46187,             0.24772,            0.070776,            0.057967,            0.033151,            0.049339,           0.0033108,           0.0033108,            0.070203
                   1,              0.0551,            0.053951,            0.044285,             0.37424,             0.51267,             0.37395,             0.16324,            0.053961,            0.031674,             0.03788,           0.0065126,           0.0065126,            0.040071
                   2,            0.049401,             0.05483,            0.035767,              0.3253,             0.62531,             0.43013,             0.23239,            0.046032,            0.030675,            0.034289,           0.0095824,           0.0095824,           0.0098076
                   3,             0.04075,            0.050925,            0.030288,             0.48943,             0.76049,             0.65757,             0.34226,            0.037639,            0.026744,            0.027162,            0.009406,            0.009406,            0.009406
                   4,             0.03536,            0.048136,            0.025632,             0.69247,             0.76952,             0.76671,             0.54125,            0.028253,            0.027183,            0.022601,            0.009406,            0.009406,            0.009406
                   5,            0.032458,            0.046076,            0.021963,              0.4083,              0.2278,             0.23664,             0.11219,            0.065754,             0.11227,             0.04484,            0.009208,            0.009208,            0.009208
                   6,            0.030083,            0.044194,            0.019043,             0.75061,             0.79497,             0.84499,             0.64566,            0.026956,            0.029797,            0.019046,             0.00901,             0.00901,             0.00901
                   7,            0.029272,            0.042973,            0.014993,             0.56655,             0.63158,             0.61608,             0.44105,            0.037571,            0.055458,            0.030435,            0.008812,            0.008812,            0.008812
                   8,            0.027274,            0.043538,            0.014262,             0.36245,             0.60928,              0.4776,             0.30905,            0.035632,            0.039969,            0.055616,            0.008614,            0.008614,            0.008614
                   9,            0.026663,            0.043391,            0.011792,             0.72979,             0.74509,             0.79613,             0.59193,             0.02949,            0.034819,            0.022965,            0.008416,            0.008416,            0.008416
                  10,            0.026151,            0.043055,            0.010328,             0.71081,             0.62336,             0.70702,             0.55814,            0.028125,            0.037155,            0.038572,            0.008218,            0.008218,            0.008218
                  11,            0.025394,            0.041578,           0.0097959,             0.70498,             0.45094,             0.51271,             0.36684,              0.0468,            0.081883,            0.034171,             0.00802,             0.00802,             0.00802
